Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
558813,700,0.5,37.5,0.45,258,0.27,0.12,39,0.37,0.03,15.1,0.22,2.9,10.7,19,0.04,POINT (-6.2271472526540474 54.20253350331964),5.39,7.5,Silt
558814,580,0.5,57.5,0.41,195,0.42,0.13,141,0.62,0.02,81.2,0.9,5.5,27.2,41,0.07,POINT (-6.018878859267811 54.21731195183888),5.21,13.55,Silt
558815,940,0.5,166,1.55,772,0.21,0.28,356,1.15,0.03,79.1,0.96,20.6,42.9,73,0.11,POINT (-6.243999471327738 54.15859188124734),4.47,14.39,Clay
558816,1070,0.5,35.1,0.47,145,0.37,0.13,68,0.47,0.02,42.8,0.32,5.1,21.5,36,0.09,POINT (-6.141002201567457 54.18235657716096),5.35,12.5,Silt
558818,680,0.5,23.1,0.85,100,0.14,0.1,41,0.09,0.02,31.7,0.24,6,4.7,10,0.05,POINT (-5.980488825253328 54.119244507845394),4.58,12.57,Clay
558819,630,0.5,14.7,1.33,273,0.12,0.09,42,0.11,0.02,30.9,0.33,10.9,6.2,12,0.05,POINT (-5.880216893444196 54.15144053118),4.39,11.28,Clay
558820,1120,2,13.1,0.85,53,0.28,0.06,62,0.12,0.04,77.8,0.98,4.3,7.7,6,0.23,POINT (-6.044552072818641 54.198008678212766),3.82,86.06,Clay
558821,1260,0.5,47.2,0.38,208,0.39,0.1,45,0.36,0.03,16.2,0.21,3.1,12.8,22,0.07,POINT (-6.140266433451909 54.21579710581282),5.64,9.55,Loam
558822,760,0.5,27.7,0.52,358,0.46,0.14,98,0.71,0.02,45,0.35,6.5,28,44,0.04,POINT (-6.203249379770659 54.14648947350372),5.91,8.92,Loam
558823,690,0.5,19.4,0.64,519,0.3,0.1,38,0.21,0.02,27.4,0.31,7.8,13.4,26,0.08,POINT (-6.023359517100333 54.107098275631465),5.45,11.59,Silt
558824,600,1,26.6,0.71,81,0.31,0.09,31,0.19,0.02,23.3,0.32,6.6,12.1,19,0.08,POINT (-5.922275573740138 54.10635613780635),4.93,14.02,Silt
558825,380,0.5,10.3,0.47,79,0.41,0.1,28,0.18,0.02,22,0.22,1.4,9.4,18,0.04,POINT (-6.139461304445474 54.16584487273598),5.39,14.74,Silt
558826,260,1,4.9,0.67,21,0.04,0.07,21,0.04,0.02,43,0.47,3.9,2.7,5,0.07,POINT (-6.153754899984392 54.15674727148671),3.48,29.12,Clay
558827,970,0.5,44.8,0.75,347,0.28,0.2,123,0.78,0.02,48.3,0.35,11.2,33.5,57,0.06,POINT (-6.1070256513164995 54.17833188506024),3.56,22.98,Clay
558828,160,1,3.3,0.42,8,0.01,0.06,8,0.005,0.02,29.5,0.18,1.8,1.1,2,0.05,POINT (-6.169324985674034 54.20144376010796),4.87,9.5,Clay
