Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
557651,610,0.5,20.4,0.43,538,0.27,0.21,68,0.6,0.02,20.3,0.19,5.1,34.0,36.0,0.09,POINT (-5.745262524074856 54.434385047214974),4.81,13.54,Clay
557652,610,0.5,18.0,0.61,706,0.2,0.21,61,0.64,0.02,25.1,0.19,6.8,36.6,44.0,0.09,POINT (-5.8147933018878195 54.330119382773105),4.61,13.03,Clay
557653,590,0.5,18.0,0.41,569,0.2,0.2,63,0.97,0.02,15.0,0.14,4.9,53.8,50.0,0.07,POINT (-5.826697092378954 54.300897688935116),5.14,8.94,Silt
557654,960,0.5,17.6,0.59,919,0.35,0.18,64,0.73,0.02,22.0,0.17,8.8,32.1,40.0,0.06,POINT (-5.7074414032264675 54.28408667781438),5.26,9.21,Silt
557655,560,0.5,20.3,0.66,259,0.25,0.15,47,0.66,0.02,18.0,0.15,5.9,32.8,38.0,0.05,POINT (-5.815097245676621 54.295395468163726),4.78,9.61,Clay
557656,360,0.5,13.8,0.74,204,0.31,0.23,53,0.72,0.03,21.0,0.12,3.2,35.1,44.0,0.05,POINT (-5.792774525298873 54.320984332021006),4.64,12.17,Clay
557657,730,0.5,30.4,0.34,611,0.31,0.27,73,0.86,0.02,24.8,0.18,5.0,45.4,46.0,0.06,POINT (-5.732921515280096 54.42396425003948),5.19,11.64,Silt
557659,520,0.5,21.1,0.37,761,0.23,0.26,77,0.9,0.02,21.6,0.12,4.8,43.3,44.0,0.06,POINT (-5.698135602373661 54.39383280211998),5.5,8.36,Silt
557660,730,0.5,30.9,0.71,836,0.21,0.22,79,0.68,0.02,21.4,0.14,7.1,46.0,54.0,0.08,POINT (-5.859544035047264 54.378706762922405),5.29,10.06,Silt
557661,1070,0.5,24.6,0.7,825,0.47,0.2,82,0.93,0.02,31.8,0.23,18.8,40.6,47.0,0.08,POINT (-5.767272566916646 54.300863055939345),6.29,8.62,Sand
557662,500,0.5,29.9,0.56,296,0.26,0.22,58,0.86,0.02,21.1,0.13,10.6,42.5,51.0,0.08,POINT (-5.903078315381169 54.31339242641433),5.28,12.8,Silt
557663,650,0.5,28.6,0.49,861,0.23,0.3,70,0.69,0.02,23.8,0.13,7.2,39.4,39.0,0.08,POINT (-5.777525565511407 54.41584399605108),5.4,9.98,Silt
557664,1310,0.5,33.7,0.78,600,0.29,0.25,88,1.02,0.02,30.4,0.31,21.0,52.2,50.0,0.08,POINT (-5.766477601098781 54.26787961202261),4.64,11.22,Clay
557665,1570,0.5,31.3,0.48,1070,0.26,0.25,101,0.8,0.02,27.8,0.19,5.0,35.4,38.0,0.07,POINT (-5.662546467904153 54.38684066667614),5.04,8.79,Silt
557666,570,0.5,20.0,0.8,483,0.16,0.2,67,0.96,0.03,22.0,0.15,12.3,43.9,46.0,0.07,POINT (-5.816743271790038 54.27532438793997),4.62,9.1,Clay
557667,510,0.5,23.0,0.66,629,0.23,0.23,68,0.68,0.02,26.3,0.15,7.7,40.1,38.0,0.1,POINT (-5.763771399383592 54.442924093927786),4.61,10.41,Clay
557668,640,0.5,24.0,0.28,272,0.37,0.22,80,1.14,0.04,37.7,0.27,10.3,55.8,59.0,0.2,POINT (-5.692357425102288 54.25419920018324),5.84,6.36,Loam
557669,510,0.5,28.9,0.44,774,0.14,0.22,71,0.75,0.02,21.9,0.17,9.4,45.7,50.0,0.11,POINT (-5.884215670761404 54.35481834980432),4.77,11.57,Clay
557670,320,0.5,13.8,0.31,199,0.11,0.27,50,1.07,0.03,12.4,0.06,12.2,55.2,52.0,0.07,POINT (-5.637767332499567 54.28186954167855),4.64,6.37,Clay
